Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 08.01.1983,19:00,Darmstadt 98,2:1,Hannover 96
Sa. 05.02.1983,15:00,RW Essen,1:0,Stuttg. Kickers
Sa. 05.02.1983,15:00,Schloß-Neuhaus,2:0,FSV Frankfurt
Sa. 05.02.1983,15:00,K. Offenbach,3:0,SC Freiburg
Sa. 05.02.1983,15:00,Wattenscheid 09,4:1,Hessen Kassel
Sa. 05.02.1983,15:00,W. Mannheim,8:0,Lüttringhausen
Sa. 05.02.1983,15:00,SpVgg Fürth,2:0,Fortuna Köln
Mi. 09.03.1983,15:00,MSV Duisburg,1:1,Alem. Aachen
Mi. 30.03.1983,19:30,VfL Osnabrück,5:1,Bayer 05
Do. 31.03.1983,19:00,Union Solingen,2:1,FC Augsburg
