Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 25.02.1994,20:00,Werder Bremen,2:2,1.FC Nürnberg
Sa. 26.02.1994,15:30,Bayern München,4:0,MSV Duisburg
Sa. 26.02.1994,15:30,1.FC K'lautern,0:0,Karlsruher SC
Sa. 26.02.1994,15:30,1.FC Köln,1:1,B. Leverkusen
Sa. 26.02.1994,15:30,E. Frankfurt,1:3,FC Schalke 04
Sa. 26.02.1994,15:30,Bor. M'gladbach,1:1,SC Freiburg
Sa. 26.02.1994,15:30,Hamburger SV,1:1,Dynamo Dresden
So. 27.02.1994,18:00,Wattenscheid 09,2:2,VfB Leipzig
Di. 08.03.1994,20:00,Bor. Dortmund,1:2,VfB Stuttgart
